Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
1,15,1,1,7,7,15,20,15,19,1,0,0,0,1,1,0,0,1.5,0,0
1,15,1,1,7,7,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,15,1,7,7,7,15,20,15,19,6,0,0,0,0,0,0,0,1,0,0
3,15,2,2,7,7,15,20,15,19,1,0,2,0,2.5,0,0,0,1,0,0
3,104,4,5,15,20,15,20,15,19,1,0,0,0,4,0,0,0,1,0,0
0,3,1,2,1,10,10,20,15,19,2,0,1.5,0,0,0,1,0,2,0,0
1,104,1,1,15,20,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
1,104,1,1,15,20,15,20,15,19,1,0,0,0,1,1,0,3,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,2,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,1.5,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,1,1,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,0,3,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,1,3,0,0,1,0,0
1,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
1,104,4,2,15,20,15,20,15,19,1,0,0,0,0,3,0,0,1,0,0
1,104,2,2,15,20,15,20,15,19,1,0,0,0,0,1,0,0,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,0,1,0,0,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,0,1,0,0,1,0,0
3,104,3,1,15,20,15,20,15,19,1,0,0,0,1,1.5,0,0,0,0,0
3,104,3,1,15,20,15,20,15,19,1,0,0,0,0,3,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
0,2,2,4,5,14,15,20,15,19,3,0,0,0,1,0,0,0,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,2,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
0,104,1,0,15,20,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
0,16,1,1,7,14,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
1,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
1,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,4,0,0
3,104,1,2,15,20,15,20,15,19,1,0,0,0,1,1,0,0,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,4,3,15,20,15,20,15,19,1,0,0,0,1,0,0,0,2.5,0,0
3,104,1,6,15,20,15,20,15,19,5,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,1,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
3,104,1,1,15,20,15,20,15,19,1,0,0,0,1,0,0,0,0,0,0
