Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
5,2,7,11,15,19,15,19,121,128,5,0,0,7,0,0,0,0,0,0,119
5,2,1,19,15,19,15,19,121,128,19,0,0,1,0,0,0,0,0,0,111
3,14,8,31,46,72,52,77,121,128,24,0,0,8,0,0,0,0,0,0,99
3,14,1,40,46,72,52,77,121,128,40,0,0,1,0,0,0,0,0,0,90
3,14,1,44,46,72,52,77,121,128,44,0,0,1,0,0,0,0,0,0,86
1,14,1,44,46,72,52,77,121,128,44,0,0,1,0,0,0,0,0,0,86
5,16,6,60,35,64,52,77,121,128,55,0,0,6,0,0,0,0,0,0,70
5,16,4,64,35,64,52,77,121,128,60,0,0,1,0,0,0,0,0,0,66
0,4,1,60,17,77,52,77,121,128,60,0,0,1,0,0,0,0,0,0,70
0,4,1,60,17,77,52,77,121,128,60,0,0,1,0,0,0,0,0,0,70
3,14,3,72,46,72,52,77,121,128,69,0,0,1,0,0,0,0,0,0,58
5,2,1,12,5,15,15,19,121,128,12,0,0,1,0,0,0,0,0,0,118
5,2,3,15,5,15,15,19,121,128,12,0,0,3,0,0,0,0,0,0,115
2,32,8,12,120,125,121,126,121,128,5,0,0,8,0,0,0,0,0,0,118
3,15,1,115,107,126,121,126,121,128,115,0,0,1,0,0,0,0,0,0,16
0,4,7,82,10,79,121,126,121,128,72,0,0,7,0,0,0,0,0,0,47
8,9,27,96,79,105,121,126,121,128,71,0,0,5,0,0,0,22,0,0,27
3,9,8,45,79,105,121,126,121,128,38,0,0,8,0,0,0,0,0,0,78
3,32,17,22,120,125,121,126,121,128,4,0,0,1,0,0,0,6.5,0,0,93
5,32,21,33,120,125,121,126,121,128,14,0,0,2,0,0,0,0,0,0,82
2,32,4,57,120,125,121,126,121,128,55,0,0,3,0,0,0,0,0,0,58
8,32,10,12,120,125,121,126,121,128,5,0,0,4,0,0,0,0,0,0,102
2,16,5,11,35,64,52,77,121,128,6,0,0,1,0,0,0,0,0,0,95
3,14,1,5,46,72,52,77,121,128,5,0,0,1,0,0,0,0,0,0,100
8,14,1,29,46,72,52,77,121,128,29,0,0,1,0,0,0,0,0,0,76
3,14,9,37,46,72,52,77,121,128,30,0,0,9,0,0,0,0,0,0,66
3,14,17,46,46,72,52,77,121,128,30,0,0,6,0,0,0,0,0,0,59
5,4,8,60,10,79,121,126,121,128,51,0,0,2.5,0,0,0,0,0,0,46
8,15,1,22,107,126,121,126,121,128,22,0,0,1,0,0,0,0,0,0,79
5,24,20,34,121,126,121,126,121,128,14,0,0,10,0,0,0,0,0,0,66
3,32,4,10,120,125,121,126,121,128,8,0,0,4,0,0,0,0,0,0,87
8,15,2,24,107,126,121,126,121,128,21,0,0,2,0,0,0,0,0,0,76
8,15,1,91,107,126,121,126,121,128,91,0,0,1,0,0,0,0,0,0,6
5,12,27,30,94,127,121,126,121,128,1,0,0,8,0,0,0,20,0,0,66
5,24,6,46,121,126,121,126,121,128,40,0,0,6,0,0,0,0,0,0,48
3,32,7,14,120,125,121,126,121,128,8,0,0,7,0,0,0,0,0,0,79
1,14,2,6,46,72,52,77,121,128,6,0,0,2,0,0,0,0,0,0,83
5,14,4,5,46,72,52,77,121,128,1,0,0,4,0,0,0,0,0,0,86
5,14,4,5,46,72,52,77,121,128,1,0,0,4,0,0,0,0,0,0,86
1,16,14,15,35,64,52,77,121,128,1,0,0,4,0,0,0,0,0,0,76
3,16,10,15,35,64,52,77,121,128,5,0,0,10,0,0,0,0,0,0,76
3,16,1,15,35,64,52,77,121,128,15,0,0,1,0,0,0,0,0,0,76
1,16,4,5,35,64,52,77,121,128,1,0,0,4,0,0,0,0,0,0,86
5,15,2,23,107,126,121,126,121,128,21,0,0,2,0,0,0,0,0,0,108
3,15,2,122,107,126,121,126,121,128,119,0,0,-2,0,0,0,0,0,0,9
1,6,13,56,37,81,121,126,121,128,46,0,0,4,0,0,0,9,0,0,72
5,24,5,6,121,126,121,126,121,128,4,0,0,5,0,0,0,0,0,0,78
8,6,10,56,37,81,121,126,121,128,46,0,0,4,0,0,0,6,0,0,75
8,16,9,8,35,64,52,77,121,128,1,0,0,9,0,0,0,0,0,0,77
13,16,9,10,35,64,52,77,121,128,1,0,0,9,0,0,0,1,0,0,76
3,16,14,20,35,64,52,77,121,128,7,0,0,4,0,0,0,1,0,0,66
5,16,11,12,35,64,52,77,121,128,2,0,0,1,0,0,0,0,0,0,74
3,16,1,10,35,64,52,77,121,128,10,0,0,1,0,0,0,0,0,0,76
3,16,7,16,35,64,52,77,121,128,10,0,0,7,0,0,0,0,0,0,70
8,16,7,16,35,64,52,77,121,128,10,0,0,7,0,0,0,0,0,0,70
2,6,5,81,37,81,121,126,121,128,78,0,0,1,0,0,0,0,0,0,48
5,6,10,56,37,81,121,126,121,128,46,0,0,4,0,0,0,6,0,0,75
0,16,1,12,35,64,52,77,121,128,11,0,0,1,0,0,0,0,0,0,69
3,8,3,12,9,11,24,26,121,128,10,0,0,2,0,0,0,0,0,0,69
3,8,4,11,9,11,24,26,121,128,7,0,0,3,0,0,0,0,0,0,70
3,8,5,6,9,11,24,26,121,128,4,0,0,3,0,0,0,0,0,0,73
3,4,2,35,10,79,121,126,121,128,33,0,0,1,0,0,0,0,0,0,46
2,6,5,81,37,81,121,126,121,128,78,0,0,1,0,0,0,0,0,0,48
8,9,6,13,79,105,121,126,121,128,6,0,0,6,0,0,0,0,0,0,66
5,6,18,19,37,81,121,126,121,128,2,0,0,18,0,0,0,0,0,0,58
3,14,11,18,46,72,52,77,121,128,7,0,0,2,0,0,0,0,0,0,59
3,16,1,7,35,64,52,77,121,128,7,0,0,1,0,0,0,0,0,0,70
5,8,8,7,9,11,24,26,121,128,1,0,0,6,0,0,0,0,0,0,68
0,8,1,7,9,11,24,26,121,128,7,0,0,1,0,0,0,0,0,0,70
0,14,1,7,46,72,52,77,121,128,7,0,0,1,0,0,0,0,0,0,70
3,32,9,12,120,125,121,126,121,128,5,0,0,9,0,0,0,0,0,0,62
5,12,5,10,94,127,121,126,121,128,5,0,0,5,0,0,0,0,0,0,66
2,1,7,7,7,7,70,70,121,128,1,0,0,7,0,0,0,0,0,0,65
5,9,17,62,79,105,121,126,121,128,47,0,0,5,0,0,0,0,0,0,67
3,9,1,34,79,105,121,126,121,128,32,0,0,1,0,0,0,0,0,0,36
3,16,1,53,79,125,121,126,121,128,55,0,0,1,0,0,0,0,0,0,12
2,4,3,1,6,6,70,70,121,128,1,0,0,3,0,0,0,0,0,0,63
3,9,7,35,79,105,121,126,121,128,29,0,0,1,0,0,0,0,0,0,96
5,4,8,6,6,6,70,70,121,128,1,0,0,5,0,0,0,0,0,0,58
5,4,6,7,6,6,70,70,121,128,1,0,0,6,0,0,0,0,0,0,59
3,11,2,27,95,111,121,126,121,128,27,0,0,1,0,0,0,0,0,0,102
5,15,1,59,107,126,121,126,121,128,59,0,0,1,0,0,0,0,0,0,6
8,32,19,42,120,125,121,126,121,128,23,0,0,3,0,0,0,0,0,0,23
1,9,9,39,79,105,121,126,121,128,30,0,0,9,0,0,0,0,0,0,26
3,24,4,20,121,126,121,126,121,128,19,0,0,4,0,0,0,0,0,0,42
5,24,1,56,121,126,121,126,121,128,56,0,0,1,0,0,0,0,0,0,9
5,24,1,56,121,126,121,126,121,128,56,0,0,1,0,0,0,0,0,0,9
5,24,1,59,121,126,121,126,121,128,59,0,0,1,0,0,0,0,0,0,5
3,24,9,12,121,126,121,126,121,128,5,0,0,2,0,0,0,0,0,0,117
8,16,8,49,79,125,121,126,121,128,41,0,0,8,0,0,0,0,0,0,16
0,12,1,26,94,127,121,126,121,128,26,0,0,1,0,0,0,0,0,0,39
3,12,5,14,94,127,121,126,121,128,7.5,0,0,1,0,0,0,0,0,0,50
3,12,1,16,94,127,121,126,121,128,16,0,0,1,0,0,0,0,0,0,48
0,9,1,20,79,105,121,126,121,128,18,0,0,1,0,0,0,0,0,0,46
0,16,1,50,79,125,121,126,121,128,48,0,0,1,0,0,0,0,0,0,16
5,24,1,12,121,126,121,126,121,128,13,0,0,1,0,0,0,0,0,0,117
3,4,2,11,17,77,52,77,121,128,9,0,0,1,0,0,0,0,0,0,53
5,1,2,11,2,11,24,26,121,128,9,0,0,1,0,0,0,0,0,0,53
8,24,4,17,121,126,121,126,121,128,16,0,0,4,0,0,0,0,0,0,112
5,24,5,31,121,126,121,126,121,128,27,0,0,2,0,0,0,0,0,0,100
5,4,4,2,6,6,70,70,121,128,1,0,0,2,0,0,0,0,0,0,58
0,32,2,16,120,125,121,126,121,128,14,0,0,2,0,0,0,0,0,0,47
0,32,2,16,120,125,121,126,121,128,14,0,0,2,0,0,0,0,0,0,47
8,24,6,22,121,126,121,126,121,128,19,0,0,3,0,0,0,0,0,0,107
0,4,3,10,10,79,121,126,121,128,4,0,0,3,0,0,0,0,0,0,47
5,15,8,8,107,126,121,126,121,128,2,0,0,8,0,0,0,0,0,0,37
5,16,8,9,79,125,121,126,121,128,2,0,0,8,0,0,0,1,0,0,36
0,24,1,12,121,126,121,126,121,128,12,0,0,1,0,0,0,0,0,0,119
8,12,10,10,94,127,121,126,121,128,1,0,0,10,0,0,0,0,0,0,26
3,32,7,7,120,125,121,126,121,128,3,0,0,5,0,0,0,0,0,0,18
5,16,8,10,79,125,121,126,121,128,3,0,0,3.5,0,0,0,0,0,0,16
3,16,1,2,79,125,121,126,121,128,3,0,0,1,0,0,0,0,0,0,22
3,16,8,10,79,125,121,126,121,128,3,0,0,1,0,0,0,0,0,0,16
1,16,1,5,79,125,121,126,121,128,5,0,0,1,0,0,0,0,0,0,21
3,16,12,13,79,125,121,126,121,128,4,0,0,12,0,0,0,0,0,0,12
3,32,6,7,120,125,121,126,121,128,2,0,0,6,0,0,0,1,0,0,9
3,15,2,1,107,126,121,126,121,128,2,0,0,1,0,0,0,0,0,0,3
5,12,2,2,94,127,121,126,121,128,1,0,0,2,0,0,0,0,0,0,4
5,24,6,15,121,126,121,126,121,128,9,0,0,4,0,0,0,0,0,0,116
3,32,8,12,120,125,121,126,121,128,7,0,0,4,0,0,0,0,0,0,117
3,32,2,27,120,125,121,126,121,128,27,0,0,1,0,0,0,0,0,0,102
5,11,3,21,95,111,121,126,121,128,20,0,0,1,0,0,0,0,0,0,108
5,11,28,87,95,111,121,126,121,128,57,0,0,28,0,0,0,0,0,0,47
2,11,20,85,95,111,121,126,121,128,42.5,0,0,1,0,0,0,0,0,0,46
0,24,3,30,121,126,121,126,121,128,27,0,0,3,0,0,0,0,0,0,101
5,24,10,57,121,126,121,126,121,128,45,0,0,1,0,0,0,0,0,0,78
8,11,8,111,95,111,121,126,121,128,106,0,0,5,0,0,0,0,0,0,18
1,24,1,11,121,126,121,126,121,128,13,0,0,1,0,0,0,0,0,0,118
8,12,4,36,94,127,121,126,121,128,34,0,0,4,0,0,0,0,0,0,93
5,16,7,125,79,125,121,126,121,128,119,0,0,1,0,0,0,0,0,0,6
8,16,16,65,79,125,121,126,121,128,49,0,0,8,0,0,0,0,0,0,66
5,32,3,25,120,125,121,126,121,128,23,0,0,3,0,0,0,0,0,0,106
5,32,1,115,120,125,121,126,121,128,58,0,0,1,0,0,0,0,0,0,16
3,32,7,112,120,125,121,126,121,128,105,0,0,3,0,0,0,5,0,0,19
8,9,9,52,79,105,121,126,121,128,45,0,0,9,0,0,0,0,0,0,77
2,32,3,23,120,125,121,126,121,128,20,0,0,3,0,0,0,0,0,0,108
5,32,37,105,120,125,121,126,121,128,46,0,0,7.5,0,0,0,0,0,0,26
3,32,3,12,120,125,121,126,121,128,12,0,0,3,0,0,0,0,0,0,117
3,32,16,21,120,125,121,126,121,128,6,0,0,14,0,0,0,0,0,0,110
5,32,18,125,120,125,121,126,121,128,107,0,0,18,0,0,0,0,0,0,6
2,11,4,21,95,111,121,126,121,128,19,0,0,2,0,0,0,0,0,0,108
8,11,9,52,95,111,121,126,121,128,46,0,0,4,0,0,0,0,0,0,77
5,11,2,72,95,111,121,126,121,128,73,0,0,2,0,0,0,0,0,0,57
5,11,5,82,95,111,121,126,121,128,78,0,0,5,0,0,0,0,0,0,49
3,12,1,87,94,127,121,126,121,128,87,0,0,1,0,0,0,0,0,0,44
5,32,15,51,120,125,121,126,121,128,37,0,0,14,0,0,0,0,0,0,80
2,24,1,45,121,126,121,126,121,128,45,0,0,1,0,0,0,0,0,0,86
5,32,19,105,120,125,121,126,121,128,86,0,0,19,0,0,0,0,0,0,26
3,24,1,11,121,126,121,126,121,128,13,0,0,1,0,0,0,0,0,0,118
13,24,3,22,121,126,121,126,121,128,20,0,0,1,0,0,0,0,0,0,109
8,24,21,27,121,126,121,126,121,128,9,0,0,6.5,0,0,0,8,0,0,102
2,32,3,7,120,125,121,126,121,128,6,0,0,3,0,0,0,0,0,0,122
2,32,11,22,120,125,121,126,121,128,12,0,0,4,0,0,0,4,0,0,109
2,32,4,7,120,125,121,126,121,128,5,0,0,3,0,0,0,0,0,0,122
8,32,10,105,120,125,121,126,121,128,95,0,0,10,0,0,0,0,0,0,26
8,24,1,21,121,126,121,126,121,128,21,0,0,1,0,0,0,0,0,0,109
5,32,16,45,120,125,121,126,121,128,29,0,0,16,0,0,0,0,0,0,86
2,19,3,4,189,189,298,303,306,310,1,0,0,3,0,0,0,0,0,0,275
3,13,61,157,279,283,298,303,306,310,97,0,0,21,0,0,0,40,0,0,118
2,13,6,100,279,283,298,303,306,310,95,0,0,6,0,0,0,0,0,0,150
5,13,6,27,279,283,298,303,306,310,22,0,0,4,0,0,0,0,0,0,218
3,13,9,10,279,283,298,303,306,310,2,0,0,8,0,0,0,0,0,0,209
3,13,7,29,279,283,298,303,306,310,22,0,0,7,0,0,0,0,0,0,128
5,18,9,11,128,129,298,303,306,310,5,0,0,2,0,0,0,1,0,0,138
5,18,1,10,128,129,298,303,306,310,9,0,0,1,0,0,0,0,0,0,138
5,18,8,19,128,129,298,303,306,310,11,0,0,7,0,0,0,0,0,0,130
5,18,8,19,128,129,298,303,306,310,12,0,0,4,0,0,0,2,0,0,129
3,18,16,20,128,129,298,303,306,310,3,0,0,8,0,0,0,0,0,0,130
3,18,17,20,128,129,298,303,306,310,3,0,0,17,0,0,0,0,0,0,129
3,18,2,11,128,129,298,303,306,310,9,0,0,2,0,0,0,0,0,0,138
3,18,9,20,128,129,298,303,306,310,11,0,0,7,0,0,0,2,0,0,128
3,18,10,30,128,129,298,303,306,310,20,0,0,10,0,0,0,0,0,0,118
1,18,9,10,128,129,298,303,306,310,1,0,0,1,0,0,0,8,0,0,138
5,8,25,35,78,84,298,303,306,310,11,0,0,25,0,0,0,0,0,0,98
5,8,28,35,78,84,298,303,306,310,7,0,0,8,0,0,0,5.5,0,0,98
3,8,17,52,78,84,298,303,306,310,36,0,0,17,0,0,0,0,0,0,79
3,8,28,33,78,84,298,303,306,310,5,0,0,28,0,0,0,0,0,0,98
5,8,28,61,78,84,298,303,306,310,34,0,0,25,0,0,0,0,0,0,70
5,18,2,71,128,129,298,303,306,310,70,0,0,2,0,0,0,0,0,0,60
3,13,22,62,279,283,298,303,306,310,41,0,0,6,0,0,0,12,0,0,68
8,8,5,60,78,84,298,303,306,310,56,0,0,4,0,0,0,0,0,0,61
5,18,11,20,128,129,298,303,306,310,10,0,0,11,0,0,0,0,0,0,98
5,18,1,30,128,129,298,303,306,310,28,0,0,1,0,0,0,0,0,0,91
2,13,5,70,279,283,298,303,306,310,66,0,0,5,0,0,0,0,0,0,28
5,18,19,56,128,129,298,303,306,310,37,0,0,19,0,0,0,0,0,0,38
3,8,1,5,78,84,298,303,306,310,5,0,0,1,0,0,0,0,0,0,79
3,18,7,27,128,129,298,303,306,310,20,0,0,7,0,0,0,0,0,0,38
5,8,9,10,78,84,298,303,306,310,2,0,0,9,0,0,0,0,0,0,49
3,18,4,20,128,129,298,303,306,310,18,0,0,4,0,0,0,0,0,0,22
5,18,4,20,128,129,298,303,306,310,18,0,0,4,0,0,0,0,0,0,22
3,18,7,8,128,129,298,303,306,310,2,0,0,3,0,0,0,0,0,0,20
3,13,8,13,279,283,298,303,306,310,5,0,0,8,0,0,0,0,0,0,299
2,13,5,6,279,283,298,303,306,310,1,0,0,4,0,0,0,0,0,0,293
6,6,1,1,70,70,204,214,224,225,1,0,0,1,0,0,0,0,0,0,66
3,45,1,1,46,60,46,60,46,60,1,0,0,1,0,0,0,0,0,0,13
0,50,1,111,190,191,222,221,224,225,113,0,0,0,0,0,0,1,0,0,113
0,14,2,61,149,149,222,221,224,225,58,0,0,2,0,0,0,0,0,0,77
0,50,9,10,190,191,222,221,224,225,1,0,0,9,0,0,0,0,0,0,216
0,5,29,29,79,84,222,221,224,225,1,0,0,29,0,0,0,1,0,0,50
0,3,37,40,70,70,222,221,224,225,1,0,0,37,0,0,0,0,0,0,77
3,37,83,99,94,144,222,221,224,225,14,0,0,28.5,0,0,0,25,0,0,16
0,50,2,40,190,191,222,221,224,225,37,0,0,2,0,0,0,0,0,0,77
0,5,14,14,79,84,222,221,224,225,1,0,0,14,0,0,0,1,0,0,99
5,2,13,54,97,124,222,221,224,225,41,0,0,5,0,0,0,0,0,0,58
0,50,29,36,190,191,222,221,224,225,4,0,0,29,0,0,0,0,0,0,77
2,37,47,83,94,144,222,221,224,225,37,0,0,14.5,0,0,0,9,0,0,25
0,14,1,30,149,149,222,221,224,225,30,0,0,0,0,0,0,1,0,0,76
1,14,8,46,149,149,222,221,224,225,37,0,0,8,0,0,0,0,0,0,62
2,14,16,45,149,149,222,221,224,225,30,0,0,6,0,0,0,2.5,0,0,61
2,14,40,70,149,149,222,221,224,225,32.5,0,0,3.5,0,0,0,1,0,0,36
2,37,29,101,94,144,222,221,224,225,71,0,0,29,0,0,0,0,0,0,7
0,50,3,3,190,191,222,221,224,225,1,0,0,3,0,0,0,1,0,0,99
0,50,31,33,190,191,222,221,224,225,1,0,0,31,0,0,0,0,0,0,66
0,50,7,24,190,191,222,221,224,225,18,0,0,7,0,0,0,1,0,0,71
2,3,32,31,70,70,222,221,224,225,2,0,0,32,0,0,0,0,0,0,46
0,5,1,1,68,141,222,221,224,225,1,0,0,1,0,0,0,0,0,0,76
3,3,36,36,51,51,222,221,224,225,1,0,0,13,0,0,0,12,0,0,41
0,50,10,11,190,191,222,221,224,225,1,0,0,10,0,0,0,0,0,0,67
0,50,26,26,190,191,222,221,224,225,1,0,0,11,0,0,0,0,0,0,51
2,50,31,31,190,191,222,221,224,225,1,0,0,8,0,0,0,1,0,0,46
4,50,42,42,190,191,222,221,224,225,1,0,0,42,0,0,0,0,0,0,35
0,50,6,6,190,191,222,221,224,225,1,0,0,2,0,0,0,1,0,0,71
5,50,25,26,190,191,222,221,224,225,1,0,0,9.5,0,0,0,1,0,0,51
4,21,69,67,67,67,67,67,68,81,1,0,0,69,0,0,0,0,0,0,8
2,50,18,16,190,191,222,221,224,225,1,0,0,7,0,0,0,1,0,0,58
0,50,5,5,190,191,222,221,224,225,1,0,0,5,0,0,0,1,0,0,71
0,14,7,7,149,149,222,221,224,225,1,0,0,7,0,0,0,1,0,0,69
0,50,12,11,190,191,222,221,224,225,1,0,0,4,0,0,0,0,0,0,212
3,3,1,27,70,70,222,221,224,225,27,0,0,1,0,0,0,0,0,0,45
3,50,13,12,190,191,222,221,224,225,1,0,0,7,0,0,0,0,0,0,57
0,14,1,1,149,149,222,221,224,225,1,0,0,1,0,0,0,0,0,0,70
0,3,1,1,12,12,222,221,224,225,1,0,0,1,0,0,0,0,0,0,70
0,3,1,1,12,12,222,221,224,225,1,0,0,1,0,0,0,0,0,0,70
2,3,9,12,12,12,222,221,224,225,1,0,0,4,0,0,0,0,0,0,62
2,50,19,19,190,191,222,221,224,225,1,0,0,6.5,0,0,0,1,0,0,51
3,50,19,19,190,191,222,221,224,225,1,0,0,12,0,0,0,0,0,0,51
5,50,21,21,190,191,222,221,224,225,1,0,0,5,0,0,0,0,0,0,46
3,50,5,6,190,191,222,221,224,225,1,0,0,1,0,0,0,0,0,0,62
3,50,21,21,190,191,222,221,224,225,1,0,0,9,0,0,0,0,0,0,46
0,50,1,1,190,191,222,221,224,225,1,0,0,1,0,0,0,0,0,0,66
3,3,20,39,20,39,222,221,224,225,19,0,0,11,0,0,0,0,0,0,25
10,50,12,20,190,191,222,221,224,225,6,0,0,11,0,0,0,0,0,0,46
0,50,12,11,190,191,222,221,224,225,1,0,0,4,0,0,0,0,0,0,212
2,50,5,26,190,191,222,221,224,225,18,0,0,5,0,0,0,0,0,0,42
0,50,2,26,190,191,222,221,224,225,23,0,0,2,0,0,0,0,0,0,42
8,14,1,15,149,149,222,221,224,225,13,0,0,1,0,0,0,0,0,0,45
1,50,7,9,190,191,222,221,224,225,1,0,0,3.5,0,0,0,0,0,0,51
2,84,37,39,150,159,149,164,219,223,1,0,0,37,0,0,0,0,0,0,21
2,23,15,54,125,181,211,213,219,223,38,0,0,1,0,0,0,0,0,0,31
0,50,28,37,190,191,222,221,224,225,12,0,0,23,0,0,0,0,0,0,182
0,24,1,10,174,174,211,213,219,223,9,0,0,1,0,0,0,0,0,0,45
1,50,5,6,190,191,222,221,224,225,1,0,0,5,0,0,0,0,0,0,42
2,3,22,21,21,21,222,221,224,225,2,0,0,14,0,0,0,0,0,0,21
2,3,22,21,21,21,222,221,224,225,2,0,0,14,0,0,0,0,0,0,21
0,3,2,2,20,39,222,221,224,225,2,0,0,2,0,0,0,0,0,0,42
1,3,1,11,20,39,222,221,224,225,12,0,0,1,0,0,0,0,0,0,31
2,3,16,16,51,51,222,221,224,225,1,0,0,4,0,0,0,0,0,0,25
1,24,8,50,55,66,149,160,219,223,40,0,0,-1,0,0,0,0,0,0,13
0,50,133,141,190,191,222,221,224,225,8,0,0,43,0,0,0,48,0,0,77
1,2,9,9,9,9,222,221,224,225,1,0,0,5,0,0,0,5,0,0,16
1,37,1,1,94,144,222,221,224,225,1,0,0,1,0,0,0,0,0,0,19
5,8,13,14,11,14,222,221,224,225,1,0,0,13,0,0,0,0,0,0,3
0,37,2,11,94,144,222,221,224,225,10,0,0,2,0,0,0,0,0,0,7
0,50,90,139,190,191,222,221,224,225,26,0,0,36,0,0,0,14,0,0,77
0,6,1,60,19,72,84,89,115,144,60,0,0,1,0,0,0,0,0,0,6
0,4,1,1,1,1,222,221,224,225,1,0,0,1,0,0,0,0,0,0,4
0,4,1,1,1,1,222,221,224,225,1,0,0,1,0,0,0,0,0,0,4
0,50,89,90,190,191,222,221,224,225,1,0,0,41,0,0,0,48,0,0,113
0,50,89,90,190,191,222,221,224,225,1,0,0,22,0,0,0,68,0,0,113
0,50,1,24,190,191,222,221,224,225,11,0,0,1,0,0,0,42.5,0,0,39
0,50,1,24,190,191,222,221,224,225,22,0,0,1,0,0,0,1,0,0,181
0,50,68,130,190,191,222,221,224,225,59,0,0,0,0,0,0,68,0,0,77
0,50,89,90,190,191,222,221,224,225,1,0,0,45,0,0,0,13,0,0,113
0,1,53,70,51,70,222,221,224,225,17,0,0,18,0,0,0,9.5,0,0,113
0,2,79,109,97,124,222,221,224,225,53.5,0,0,1.5,0,0,0,1,0,0,77
5,14,116,119,149,149,222,221,224,225,1,0,0,109,0,0,0,1,0,0,62
5,4,154,154,154,154,222,221,224,225,1,0,0,47.5,0,0,0,40,0,0,6
3,14,97,102,149,149,222,221,224,225,3,0,0,29,0,0,0,17.5,0,0,62
0,5,42,45,79,84,222,221,224,225,3,0,0,42,0,0,0,1,0,0,113
0,14,80,80,149,149,222,221,224,225,1,0,0,41,0,0,0,1,0,0,75
0,50,6,7,190,191,222,221,224,225,2,0,0,4,0,0,0,0,0,0,219
0,5,41,41,79,84,222,221,224,225,1,0,0,41,0,0,0,1,0,0,113
0,2,78,81,78,81,222,221,224,225,3,0,0,17,0,0,0,22.5,0,0,69
0,2,28,79,78,81,222,221,224,225,51,0,0,0,0,0,0,23,0,0,71
0,50,10,11,190,191,222,221,224,225,2,0,0,9,0,0,0,0,0,0,216
0,50,32,35,190,191,222,221,224,225,3,0,0,32,0,0,0,1,0,0,113
0,50,65,73,190,191,222,221,224,225,7,0,0,65,0,0,0,0,0,0,76
0,50,4,48,190,191,222,221,224,225,44,0,0,4,0,0,0,1,0,0,99
0,50,37,74,190,191,222,221,224,225,35,0,0,37,0,0,0,0,0,0,77
0,50,13,12,190,191,222,221,224,225,2,0,0,4,0,0,0,0,0,0,212
0,50,37,71,190,191,222,221,224,225,32,0,0,37,0,0,0,0,0,0,77
2,14,80,81,149,149,222,221,224,225,1,0,0,33,0,0,0,8,0,0,62
0,114,9,97,200,209,204,214,224,225,89,0,0,0,0,0,0,9,0,0,9
0,114,9,97,200,209,204,214,224,225,89,0,0,1,0,0,0,0,0,0,9
0,114,9,97,200,209,204,214,224,225,89,0,0,0,0,0,0,9,0,0,9
0,114,1,97,200,209,204,214,224,225,99,0,0,0,0,0,0,1,0,0,7
8,49,9,8,149,154,149,164,219,223,2,0,0,9,0,0,0,0,0,0,131
3,14,1,6,23,29,149,164,219,223,6,0,0,1,0,0,0,0,0,0,41
8,26,2,8,45,46,149,164,219,223,5,0,0,2,0,0,0,0,0,0,41
0,4,1,13,30,43,149,164,219,223,15,0,0,0,0,0,0,1,0,0,31
0,26,1,6,45,46,149,164,219,223,6,0,0,1,0,0,0,0,0,0,41
1,26,7,35,45,46,149,164,219,223,28,0,0,7,0,0,0,0,0,0,11
0,26,4,2,45,46,149,164,219,223,1,0,0,4,0,0,0,0,0,0,41
5,49,9,8,149,154,149,164,219,223,2,0,0,9,0,0,0,0,0,0,131
0,59,1,5,111,120,211,213,219,223,3,0,0,1,0,0,0,0,0,0,41
0,16,1,10,49,64,149,164,219,223,10,0,0,1,0,0,0,0,0,0,33
3,16,1,10,49,64,149,164,219,223,12,0,0,1,0,0,0,0,0,0,31
0,59,1,4,111,120,211,213,219,223,2,0,0,1,0,0,0,0,0,0,41
3,52,6,21,135,151,149,164,219,223,15,0,0,6,0,0,0,0,0,0,121
3,84,7,11,150,159,149,164,219,223,4,0,0,7,0,0,0,0,0,0,32
3,26,7,11,45,46,149,164,219,223,4,0,0,7,0,0,0,0,0,0,32
3,26,7,11,45,46,149,164,219,223,4,0,0,7,0,0,0,0,0,0,31
3,8,7,11,33,39,149,164,219,223,4,0,0,7,0,0,0,0,0,0,31
3,59,1,13,111,120,211,213,219,223,11,0,0,1,0,0,0,0,0,0,31
3,7,1,11,58,60,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
5,49,1,11,149,154,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
3,32,1,25,40,57,211,213,219,223,25,0,0,1,0,0,0,0,0,0,17
5,52,1,10,135,151,149,164,219,223,10,0,0,1,0,0,0,0,0,0,32
3,14,1,11,23,29,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
3,84,1,11,150,159,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
1,84,1,10,150,159,149,164,219,223,10,0,0,1,0,0,0,0,0,0,131
2,28,1,11,51,61,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
3,84,1,19,150,159,149,164,219,223,17,0,0,1,0,0,0,0,0,0,25
3,26,1,11,45,46,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
0,14,1,3,23,29,149,164,219,223,1,0,0,1,0,0,0,0,0,0,40
3,16,1,11,49,64,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
2,52,1,11,135,151,149,164,219,223,11,0,0,1,0,0,0,0,0,0,31
