Key,Cost of Delay,Resolved Name,Story Points,Created Date,First In Progress Date,Last Resolved Date,Cycle Time (Bus. Days),Lead Time (Bus. Days),Epic Name
KEY-177,Standard,Released,0,2018-10-24T09:29:01,2018-11-02T11:21:01,2018-11-02T11:22:01,1,6,Address product quality issues
KEY-178,Standard,Released,0,2018-10-25T08:53:01,2019-02-13T21:47:01,2019-02-13T21:47:01,1,80,Sunset old product
KEY-179,Standard,Duplicate,0,2018-10-30T00:10:01,2019-02-13T21:47:01,2019-02-13T21:47:01,1,77,Acquire VC funding
KEY-180,Standard,Duplicate,0,2018-10-30T11:54:01,2019-02-13T21:44:01,2019-02-13T21:45:01,1,77,Acquire VC funding
KEY-181,Standard,Duplicate,0,2018-11-05T15:30:01,2018-12-06T11:29:01,2019-02-13T11:56:01,50,72,Build customer retention model
KEY-182,Standard,Released,0,2018-11-05T15:42:01,2018-11-13T11:51:01,2019-05-17T10:34:01,133,137,Build customer retention model
KEY-183,Expedite,Released,0,2018-11-05T15:53:01,2018-11-13T11:24:01,2018-11-28T17:54:01,12,18,Build customer retention model
KEY-184,Standard,Released,0,2018-11-05T15:58:01,2018-11-13T15:26:01,2018-11-13T15:26:01,1,6,Prevent employee attrition
KEY-185,Standard,Released,0,2018-11-05T15:59:01,2018-11-13T11:52:01,2018-11-13T15:28:01,1,6,Increase web checkout security
KEY-186,Standard,Released,0,2018-11-05T16:13:01,2018-11-08T11:47:01,2018-11-13T11:27:01,3,6,Optimise profit margins
KEY-187,Standard,Released,0,2018-11-08T13:29:01,2019-01-14T17:23:01,2019-05-02T10:27:01,78,125,Improve employee morale
KEY-189,Standard,Released,0,2018-11-08T13:39:01,2018-12-06T11:29:01,2019-02-08T11:39:01,47,66,Improve employee morale
KEY-190,Standard,Released,0,2018-11-08T13:49:01,2019-01-14T12:47:01,2019-03-20T13:23:01,48,94,Move to new office space
KEY-195,Standard,Released,3,2018-11-12T20:57:01,2018-11-13T15:19:01,2018-12-17T16:34:01,25,25,Move to new office space
KEY-196,Standard,Released,0,2018-11-12T21:00:01,2018-11-21T12:20:01,2018-11-21T12:21:01,1,7,Move to new office space
KEY-197,Standard,Released,0,2018-11-12T21:03:01,2018-11-16T10:57:01,2018-12-03T15:34:01,12,15,Improve employee morale
KEY-198,Standard,Released,0,2018-11-12T21:07:01,2018-11-21T12:00:01,2018-12-03T15:34:01,9,15,Promote our new product
KEY-199,Standard,Released,0,2018-11-12T21:11:01,2018-11-13T15:16:01,2018-12-11T11:45:01,20,21,Create product differentiator
KEY-200,Standard,Released,0,2018-11-12T21:33:01,2018-11-13T15:18:01,2018-11-30T14:57:01,13,12,Address logistical inefficiencies
KEY-201,Standard,Released,0,2018-11-12T21:34:01,2018-11-16T10:57:01,2018-11-30T14:54:01,11,12,Address logistical inefficiencies
